x,y,z,Cluster
2.7005501101899427,3.6674499561612683,Hot2,1
1.9175759641026613,3.0465384762416456,Hot2,1
1.9097541718337672,1.9908948153576302,Hot2,1
2.1745803637778987,3.182452401651872,Hot2,1
1.945569815937417,1.9576053273787497,Hot2,1
1.5991846670650582,2.3796958663621846,Hot2,1
1.82172320536176,2.768463678092325,Hot2,1
2.122433916522815,3.2537840864678804,Hot2,1
2.0162792604920887,3.3923605636843797,Hot2,1
1.925930943489197,2.002302328047597,Hot2,1
2.745989961500701,3.1914460765392554,Hot2,1
2.0945371193700395,3.6448139402524267,Hot2,1
1.745807721523703,2.2417672121674834,Hot2,1
2.6761293461124844,2.906332909167047,Hot2,1
2.1517813357237072,2.948736943460705,Hot2,1
1.790998548655909,2.9511589507802403,Hot2,1
2.2367887159904587,2.9959469558356346,Hot2,1
2.636118600802533,2.7743785167131927,Hot2,1
4.035245016135016,1.9515864293533471,Hot2,1
2.206165914525654,3.172917651416539,Hot2,1
1.7399749279027485,3.0752491648796068,Hot2,1
2.606574150708234,2.742252731798677,Hot2,1
2.330610601912405,2.223939673464346,Hot2,1
2.562759226438333,3.306062018359057,Hot2,1
2.279727178536256,3.082625117647643,Hot2,1
2.0372276041501984,2.726349110235029,Hot2,1
2.1224766225049447,2.6762787315041185,Hot2,1
2.2937149297900774,2.050241670693509,Hot2,1
1.9973522411893285,2.186976508441853,Hot2,1
2.4756009361956846,5.076984591334355,Hot2,1
1.9435663366396618,3.0504030217191596,Hot2,1
2.1358869658975776,3.2767737252488405,Hot2,1
2.135099682650839,2.413915329272467,Hot2,1
1.6612034998720373,1.8362261395978958,Hot2,1
2.678281454998881,3.7286739677873313,Hot2,1
2.324082463442722,3.839511509395001,Hot2,1
1.6715956278541986,2.4624698885097347,Hot2,1
2.2837484656755778,3.5689262862042908,Hot2,1
1.9932165184233162,2.7315210699418464,Hot2,1
2.5069729698445906,3.2186013249664276,Hot2,1
2.181329710168593,2.360644219614191,Hot2,1
2.525218718000419,3.289178808597782,Hot2,1
1.8337748697231175,2.384855396977165,Hot2,1
2.4365805286261657,2.926939266975324,Hot2,1
2.618056640877408,3.2892473841611265,Hot2,1
2.34284844218969,2.7369209907517873,Hot2,1
2.3471116862564285,2.7177132994973343,Hot2,1
2.7950110458655426,3.902614291962022,Hot2,1
2.146383019873909,3.062449707854909,Hot2,1
2.0213460263765803,3.067418949856466,Hot2,1
2.0159969420494384,3.3256288487024452,Hot2,1
2.805912770976887,3.545430585214855,Hot2,1
1.6887072039253845,1.9669913972111357,Hot2,1
1.4727947178304184,2.0674456956074665,Hot2,1
2.7724651233523154,3.5249385215487927,Hot2,1
2.0223309704469683,3.3855224247847193,Hot2,1
1.9492511628379603,3.043560611245655,Hot2,1
2.132293502876336,2.7478064409764724,Hot2,1
2.3323497457420315,2.391684939274914,Hot2,1
1.9778374339876788,2.4375164072167457,Hot2,1
2.331921349697264,2.6650674186820758,Hot2,1
2.245722138074584,2.3714847603900298,Hot2,1
2.86211916159306,3.3771767990068478,Hot2,1
2.09750326969455,3.2185302606901094,Hot2,1
2.061575466088064,2.0000594685358357,Hot2,1
2.5467878279452836,3.1026739864676003,Hot2,1
2.3264007512163905,2.9971934628402797,Hot2,1
2.4447707527595752,3.9948459601442443,Hot2,1
2.5053883684479046,2.74465044714438,Hot2,1
2.1616843207926384,2.1058764000665073,Hot2,1
1.541314089236829,1.4321378068980284,Hot2,1
2.117227736339787,2.7664665636783825,Hot2,1
2.6091728158985195,3.0019481013302176,Hot2,1
2.1578378329837617,3.066876719582976,Hot2,1
2.03905061081637,2.3875842619577257,Hot2,1
2.6563896390880664,4.610436480789177,Hot2,1
1.9656360342093284,2.1656131782661396,Hot2,1
2.3917229995703035,2.7643272909903898,Hot2,1
1.4679713893426831,1.867646985707161,Hot2,1
2.268124008212094,2.386250418734104,Hot2,1
2.371983524377378,2.615604277850545,Hot2,1
1.6151738306772756,1.4094355485434653,Hot2,1
4.15444809564711,1.98250305985544,Hot2,1
2.1051982552357638,3.191297958601001,Hot2,1
2.457466670358494,2.853359448416034,Hot2,1
2.1651054409635915,2.2732556700657627,Hot2,1
2.0894969423155505,4.032818609515473,Hot2,1
2.0144318276098634,2.5453478978918413,Hot2,1
1.8156012386491496,2.090307711175258,Hot2,1
2.247757846080084,3.292829487119635,Hot2,1
2.4560624189197027,2.9254940355952677,Hot2,1
1.927542993384401,2.8036967904064083,Hot2,1
2.372637163105285,4.019772689186486,Hot2,1
2.057483703322582,1.78447308798446,Hot2,1
2.291000508289753,2.872713146401937,Hot2,1
1.8162295689613455,2.91986594211546,Hot2,1
1.7434421866195562,2.666755621509171,Hot2,1
2.660012711187065,2.641761544321826,Hot2,1
2.3959242256324624,2.7272993687492373,Hot2,1
3.7668051228471193,1.7614368461705676,Hot2,1
2.6915479848263653,3.51135237264085,Hot2,1
1.8766563820421214,3.0543101829598873,Hot2,1
1.8498368924632633,2.9151120930511127,Hot2,1
2.5999541181200785,3.129880815598335,Hot2,1
1.973966618818282,3.1622107285551793,Hot2,1
2.22766087551807,2.164470688063778,Hot2,1
2.621699064331559,3.0651276511500853,Hot2,1
1.8525835233030459,2.812677960645622,Hot2,1
2.4247583347912034,3.028191925632344,Hot2,1
2.088466416288381,3.5321039179078575,Hot2,1
2.630556201523256,3.7305114459377626,Hot2,1
2.8181250490956984,3.5151042284521736,Hot2,1
1.59955698320358,1.6609035379492794,Hot2,1
2.0822292686226143,2.9888244576151495,Hot2,1
2.263697042984828,3.6868675768801786,Hot2,1
3.938901944436209,2.5361731459771057,Hot2,1
1.6537934086091906,2.572159702574621,Hot2,1
2.2389036432035154,2.541663886236798,Hot2,1
2.2486872049120152,3.410966365833437,Hot2,1
1.9299769528594437,2.3691939058999094,Hot2,1
1.554141222990389,1.8268763700830264,Hot2,1
1.6936826868271306,2.159421072229357,Hot2,1
2.2439545464017243,2.6581837037183003,Hot2,1
