%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
0,167453,167453,25,0,73215312,2181721,100,226298,java/lang/Object@00000007FFF689A8,Sim,8
0,159909,159909,41,0,73001073,2224915,100,236894,java/lang/Object@00000007FFF68C10,Sim,8
0,182444,182444,19,0,72655188,2183467,100,207622,java/lang/Object@00000007FFF688B8,Sim,8
0,154962,154962,38,0,72763142,2174727,100,244579,java/lang/Object@00000007FFF68A70,Sim,8
0,167510,167510,14,0,72342801,2173272,100,226204,java/lang/Object@00000007FFF68980,Sim,8
0,144809,144809,29,0,72750915,2220040,100,261731,java/lang/Object@00000007FFF67238,Sim,8
0,166788,166788,35,0,72137895,2150640,100,227187,java/lang/Object@00000007FFF66B50,Sim,8
0,145004,145004,24,0,72654875,2175097,100,261434,java/lang/Object@00000007FFF689D8,Sim,8
0,142415,142415,12,0,72557843,2184959,100,266207,java/lang/Object@00000007FFF689C8,Sim,8
0,140515,140515,17,0,72585599,2203487,100,269746,java/lang/Object@00000007FFF68988,Sim,8
0,177342,177342,26,0,72477404,2196039,100,213629,java/lang/Object@00000007FFE04038,Sim,8
0,170248,170248,22,0,73671873,2237028,100,222580,java/lang/Object@00000007FFF68C68,Sim,8
0,147457,147457,21,0,72620938,2196471,100,257070,java/lang/Object@00000007FFE043C8,Sim,8
0,180998,180998,32,0,73040480,2178043,100,209250,java/lang/Object@00000007FFF68930,Sim,8
0,137467,137467,35,0,72528435,2194929,100,275752,java/lang/Object@00000007FFF68AC8,Sim,8
0,143812,143812,14,0,72691393,2211517,100,263648,java/lang/Object@00000007FFF68B58,Sim,8
0,139607,139607,16,0,72423368,2210452,100,271509,java/lang/Object@00000007FFF688E8,Sim,8
0,143480,143480,33,0,72650382,2210152,100,264120,java/lang/Object@00000007FFF66C70,Sim,8
0,144590,144590,24,0,71810783,2177649,100,262056,java/lang/Object@00000007FFF688E8,Sim,8
0,150918,150918,34,0,72764011,2189857,100,251125,java/lang/Object@00000007FFE0A4F8,Sim,8
0,156135,156135,24,0,72804786,2181402,100,242761,java/lang/Object@00000007FFF68B60,Sim,8
0,157488,157488,27,0,72566997,2198847,100,240613,java/lang/Object@00000007FFF68930,Sim,8
0,171905,171905,22,0,72912135,2217428,100,220382,java/lang/Object@00000007FFF68980,Sim,8
0,151962,151962,21,0,72528874,2183102,100,249392,java/lang/Object@00000007FFF689D8,Sim,8
0,146074,146074,19,0,72592436,2181654,100,259450,java/lang/Object@00000007FFF689C8,Sim,8
0,134784,134784,25,0,72097745,2190424,100,281198,java/lang/Object@00000007FFE0A9B8,Sim,8
0,137296,137296,12,0,72170227,2169175,100,276130,java/lang/Object@00000007FFF68A78,Sim,8
0,142397,142397,18,0,72628185,2196051,100,266162,java/lang/Object@00000007FFF68AC8,Sim,8
0,152271,152271,32,0,72329651,2192245,100,248859,java/lang/Object@00000007FFF68B08,Sim,8
0,138570,138570,22,0,72393482,2199941,100,273408,java/lang/Object@00000007FFF688E8,Sim,8
0,164850,164850,13,0,72172208,2196508,100,229893,java/lang/Object@00000007FFF68AD8,Sim,8
0,159809,159809,31,0,72888184,2221945,100,237144,java/lang/Object@00000007FFF68930,Sim,8
0,144840,144840,20,0,72522657,2212267,100,261719,java/lang/Object@00000007FFF66AB8,Sim,8
0,174578,174578,35,0,72694933,2182587,100,216935,java/lang/Object@00000007FFF67260,Sim,8
0,157344,157344,36,0,72613159,2191468,100,240828,java/lang/Object@00000007FFF688E0,Sim,8
0,147046,147046,34,0,72789151,2202770,100,257652,java/lang/Object@00000007FFF68960,Sim,8
0,142159,142159,21,0,72191618,2182439,100,266551,java/lang/Object@00000007FFF689A0,Sim,8
0,147007,147007,16,0,71883861,2174842,100,257737,java/lang/Object@00000007FFF688E8,Sim,8
0,177430,177430,21,0,72705611,2214959,100,213515,java/lang/Object@00000007FFF689D0,Sim,8
0,144716,144716,19,0,72489940,2209895,100,261863,java/lang/Object@00000007FFF68938,Sim,8
0,166822,166822,17,0,72870958,2165457,100,227136,java/lang/Object@00000007FFE0A6C0,Sim,8
0,147418,147418,17,0,72314168,2187093,100,257176,java/lang/Object@00000007FFF688C0,Sim,8
0,142042,142042,20,0,71891838,2164969,100,266844,java/lang/Object@00000007FFF688E8,Sim,8
0,169769,169769,28,0,72016584,2180558,100,223117,java/lang/Object@00000007FFF68A98,Sim,8
