%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
5,71051,71051,3236,0,65510260,2010275,99,530882,java/lang/Object@000000060A25E198,Hot2,2
3,72677,72677,2334,0,61251938,1877031,99,518494,java/lang/Object@000000060A25B558,Hot2,2
3,76730,76730,2351,0,69359976,2128344,99,491777,java/lang/Object@000000060A25E778,Hot2,2
3,76289,76289,2146,0,56910745,1739575,99,494895,java/lang/Object@000000060A25E318,Hot2,2
3,74314,74314,2599,0,63251677,1939133,99,507098,java/lang/Object@000000060A261438,Hot2,2
3,76772,76772,1933,0,57127347,1745832,99,491420,java/lang/Object@000000060A25BD20,Hot2,2
3,76029,76029,2237,0,64366724,1973234,99,495517,java/lang/Object@000000060A25E3E8,Hot2,2
4,75914,75914,3066,0,72411032,2223710,99,496442,java/lang/Object@000000060A25E0E8,Hot2,2
4,67977,67977,2921,0,63434030,1946676,99,553744,java/lang/Object@000000060A25B8F8,Hot2,2
5,65953,65953,3412,0,68758188,2114297,99,570257,java/lang/Object@000000060A25E7D8,Hot2,2
4,72928,72928,2959,0,67101343,2059326,99,516570,java/lang/Object@000000060A25BD80,Hot2,2
5,64347,64347,3238,0,72089155,2218870,99,584025,java/lang/Object@000000060A25E2D8,Hot2,2
5,59833,59833,3254,0,68706235,2115329,99,628643,java/lang/Object@000000060A25E6F0,Hot2,2
5,61572,61572,3156,0,66460947,2044550,99,611431,java/lang/Object@000000060A25B418,Hot2,2
4,64074,64074,2760,0,61848384,1899339,99,588564,java/lang/Object@000000060A25E6B8,Hot2,2
3,75245,75245,2016,0,53101404,1620207,99,499844,java/lang/Object@000000060A25BA28,Hot2,2
5,64724,64724,3076,0,69865440,2149319,99,582434,java/lang/Object@000000060A261438,Hot2,2
4,76930,76930,3264,0,71975154,2209687,99,490209,java/lang/Object@000000060A25E2B8,Hot2,2
4,71091,71091,2990,0,68314082,2097949,99,528981,java/lang/Object@000000060A2589B0,Hot2,2
4,60136,60136,2479,0,58622132,1800531,99,625990,java/lang/Object@000000060A261850,Hot2,2
4,64437,64437,2484,0,56884797,1744204,99,585869,java/lang/Object@000000060A25BAC0,Hot2,2
5,64461,64461,3073,0,65356769,2008826,99,584451,java/lang/Object@000000060A25E100,Hot2,2
3,78568,78568,2504,0,70115926,2151061,99,479392,java/lang/Object@000000060A25B438,Hot2,2
4,67013,67013,2724,0,65572290,2014223,99,562410,java/lang/Object@000000060A25B428,Hot2,2
3,79468,79468,2463,0,71185660,2184590,99,474594,java/lang/Object@000000060A258988,Hot2,2
3,77436,77436,2411,0,67684219,2075448,99,486961,java/lang/Object@000000060A25E5C0,Hot2,2
4,76036,76036,2770,0,70585548,2166962,99,495454,java/lang/Object@000000060A258670,Hot2,2
4,66062,66062,2407,0,60258204,1849331,99,570331,java/lang/Object@000000060A2619D8,Hot2,2
100,59455,59455,59343,0,178163,3658,92,590495,java/lang/Object@000000060A25BAC0,Hot2,2
5,66385,66385,3548,0,71006874,2183817,99,566262,java/lang/Object@000000060A25E190,Hot2,2
5,68055,68055,3079,0,68600610,2108194,99,552677,java/lang/Object@000000060A25BA18,Hot2,2
4,66046,66046,2566,0,62697438,1925093,99,571074,java/lang/Object@000000060A25B3A0,Hot2,2
3,79482,79482,2189,0,69113808,2119666,99,474516,java/lang/Object@000000060A25BAB0,Hot2,2
4,78009,78009,2886,0,75644464,2323697,99,483925,java/lang/Object@000000060A25B590,Hot2,2
5,68326,68326,3079,0,65275504,2003798,99,551713,java/lang/Object@000000060A25BDB8,Hot2,2
3,66538,66538,1845,0,52954410,1622064,99,567728,java/lang/Object@000000060A25BDF8,Hot2,2
6,63398,63398,3526,0,71649945,2205403,99,592470,java/lang/Object@000000060A25E170,Hot2,2
4,70674,70674,2503,0,61326262,1879938,99,532847,java/lang/Object@000000060A25BA30,Hot2,2
5,69149,69149,3311,0,70121299,2155449,99,542980,java/lang/Object@000000060A25B7A0,Hot2,2
4,60162,60162,2164,0,53611675,1643869,99,627223,java/lang/Object@000000060A25B7E0,Hot2,2
3,63503,63503,2044,0,56728849,1739842,99,593239,java/lang/Object@000000060A25B498,Hot2,2
4,69491,69491,2951,0,66732384,2049521,99,541850,java/lang/Object@000000060A25B8E8,Hot2,2
4,63126,63126,2228,0,56639265,1737283,99,597311,java/lang/Object@000000060A25B9F0,Hot2,2
3,79102,79102,2252,0,65782572,2015083,99,477483,java/lang/Object@000000060A25BCD8,Hot2,2
3,65878,65878,2140,0,57543131,1764631,99,571720,java/lang/Object@000000060A25E5C0,Hot2,2
4,61408,61408,2483,0,61486553,1889528,99,614447,java/lang/Object@000000060A25E7E8,Hot2,2
4,73358,73358,2734,0,66589087,2043543,99,512856,java/lang/Object@000000060A25E608,Hot2,2
3,70470,70470,2271,0,57375251,1757853,99,535837,java/lang/Object@000000060A25E490,Hot2,2
4,60925,60925,2267,0,55808845,1713145,99,619906,java/lang/Object@000000060A25BDA8,Hot2,2
4,68808,68808,3075,0,68945829,2118668,99,547752,java/lang/Object@000000060A25DF28,Hot2,2
4,64326,64326,2683,0,61466675,1887492,99,586073,java/lang/Object@000000060A25B850,Hot2,2
4,61429,61429,2664,0,60233264,1850604,99,613440,java/lang/Object@000000060A25E528,Hot2,2
4,66935,66935,2811,0,65119988,2000164,99,563047,java/lang/Object@000000060A25E528,Hot2,2
4,72708,72708,2922,0,67469210,2070663,99,518208,java/lang/Object@000000060A25BAD8,Hot2,2
4,68529,68529,2402,0,59859311,1835049,99,550608,java/lang/Object@000000060A25DF38,Hot2,2
6,59786,59786,3356,0,67886051,2089820,99,628898,java/lang/Object@000000060A261518,Hot2,2
4,74681,74681,2873,0,64855163,1988588,99,504116,java/lang/Object@000000060A25E1C0,Hot2,2
4,64509,64509,2573,0,61810345,1898055,99,583809,java/lang/Object@000000060A25E490,Hot2,2
4,65411,65411,2519,0,60712808,1863539,99,574501,java/lang/Object@000000060A25EDE8,Hot2,2
3,68641,68641,2323,0,59200839,1814751,99,548722,java/lang/Object@000000060A25B3A0,Hot2,2
3,73870,73870,2522,0,62734758,1923160,99,510092,java/lang/Object@000000060A261558,Hot2,2
5,69791,69791,3187,0,70819119,2176734,99,539398,java/lang/Object@000000060A25B698,Hot2,2
4,70480,70480,2511,0,63014139,1932912,99,532954,java/lang/Object@000000060A25B5E0,Hot2,2
5,70764,70764,3292,0,70558445,2167867,99,530692,java/lang/Object@000000060A261590,Hot2,2
4,67440,67440,2516,0,61605807,1890479,99,559520,java/lang/Object@000000060A25B5F0,Hot2,2
4,67309,67309,2959,0,65139741,2000255,99,560029,java/lang/Object@000000060A25B628,Hot2,2
3,61693,61693,1813,0,52737984,1617102,99,612018,java/lang/Object@000000060A25E4C8,Hot2,2
3,60688,60688,1940,0,53923093,1653949,99,622367,java/lang/Object@000000060A25B730,Hot2,2
5,61892,61892,3138,0,69233704,2130995,99,608914,java/lang/Object@000000060A25E528,Hot2,2
4,72477,72477,2705,0,63770209,1955252,99,519649,java/lang/Object@000000060A25DEA0,Hot2,2
3,70456,70456,2413,0,57285905,1755133,99,535492,java/lang/Object@000000060A25E4F0,Hot2,2
3,62242,62242,1593,0,49974263,1529390,99,606229,java/lang/Object@000000060A25E880,Hot2,2
5,72402,72402,3425,0,70429336,2162880,99,520318,java/lang/Object@000000060A25B990,Hot2,2
3,74196,74196,2284,0,61437938,1882042,99,507799,java/lang/Object@000000060A25B7B8,Hot2,2
5,60887,60887,3323,0,66786346,2055002,99,617104,java/lang/Object@000000060A25E528,Hot2,2
4,69417,69417,2681,0,61500185,1885928,99,542581,java/lang/Object@000000060A25E6A8,Hot2,2
4,66797,66797,2971,0,64369638,1976596,99,564189,java/lang/Object@000000060A25BC88,Hot2,2
5,61381,61381,2884,0,63794219,1961427,99,613848,java/lang/Object@000000060A261620,Hot2,2
100,56559,56559,56464,0,153422,2981,93,622896,java/lang/Object@000000060A2615D8,Hot2,2
5,65693,65693,3176,0,68201800,2096923,99,572552,java/lang/Object@000000060A25E1D0,Hot2,2
4,62253,62253,2201,0,58077737,1783024,99,606186,java/lang/Object@000000060A25B688,Hot2,2
4,73786,73786,3299,0,72392118,2224516,99,510555,java/lang/Object@000000060A25B7C8,Hot2,2
5,66285,66285,3136,0,69089416,2124324,99,568075,java/lang/Object@000000060A25B698,Hot2,2
5,66525,66525,3062,0,65571852,2014100,99,563607,java/lang/Object@000000060A25E3F8,Hot2,2
3,78954,78954,2644,0,70865749,2174673,99,477539,java/lang/Object@000000060A25E310,Hot2,2
6,60600,60600,3341,0,68874339,2120323,99,621471,java/lang/Object@000000060A25E480,Hot2,2
5,68927,68927,3321,0,67727548,2080322,99,547389,java/lang/Object@000000060A2614C0,Hot2,2
4,75966,75966,2746,0,67361355,2066346,99,496440,java/lang/Object@000000060A25B688,Hot2,2
6,59581,59581,3475,0,66744754,2054197,99,630643,java/lang/Object@000000060A261408,Hot2,2
3,77246,77246,1954,0,58433282,1786204,99,488200,java/lang/Object@000000060A261308,Hot2,2
